,nama_provinsi,nama_kabupaten/kota,nama_kelurahan
0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. PANGGANG
1,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. KELAPA
2,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. HARAPAN
3,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. UNTUNG JAWA
4,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. TIDUNG
5,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,P. PARI
6,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR
7,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CIDENG
8,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PETOJO UTARA
9,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PETOJO SELATAN
10,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEBON KELAPA
11,PROVINSI DKI JAKARTA,JAKARTA PUSAT,DURI PULO
12,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PASAR BARU
13,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KARANG ANYAR
14,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KARTINI
15,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GUNUNG SAHARI UTARA
16,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MANGGA DUA SELATAN
17,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN
18,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEBON KOSONG
19,PROVINSI DKI JAKARTA,JAKARTA PUSAT,HARAPAN MULIA
20,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SERDANG
21,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GUNUNG SAHARI SELATAN
22,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA BARU
23,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SUMUR BATU
24,PROVINSI DKI JAKARTA,JAKARTA PUSAT,UTAN PANJANG
25,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN
26,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KENARI
27,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PASEBAN
28,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KRAMAT
29,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KWITANG
30,PROVINSI DKI JAKARTA,JAKARTA PUSAT,BUNGUR
31,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH TIMUR
32,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH BARAT
33,PROVINSI DKI JAKARTA,JAKARTA PUSAT,RAWASARI
34,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG
35,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PEGANGSAAN
36,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CIKINI
37,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GONDANGDIA
38,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEBON SIRIH
39,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GELORA
40,PROVINSI DKI JAKARTA,JAKARTA PUSAT,BENDUNGAN HILIR
41,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KARET TENGSIN
42,PROVINSI DKI JAKARTA,JAKARTA PUSAT,PETAMBURAN
43,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEBON MELATI
44,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEBON KACANG
45,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KAMPUNG BALI
46,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU
47,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KAMPUNG RAWA
48,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GALUR
